id,name,value
3415,六安市,0
3408,安庆市,0
3411,滁州市,0
3418,宣城市,0
3412,阜阳市,0
3413,宿州市,0
3410,黄山市,0
3414,巢湖市,0
3416,亳州市,0
3417,池州市,0
3401,合肥市,0
3403,蚌埠市,0
3402,芜湖市,0
3406,淮北市,0
3404,淮南市,0
3405,马鞍山市,0
3407,铜陵市,0
8200,澳门,0
110228,密云县,0
110116,怀柔区,0
110111,房山区,0
110229,延庆县,0
110109,门头沟区,0
110114,昌平区,0
110115,大兴区,1
110113,顺义区,0
110117,平谷区,0
110112,通州区,1
110105,朝阳区,1
110108,海淀区,4
110106,丰台区,1
110107,石景山区,1
110102,西城区,1
110101,东城区,1
110104,宣武区,0
110103,崇文区,0
500242,酉阳土家族苗族自治县,0
500236,奉节县,0
500238,巫溪县,0
500234,开县,0
500243,彭水苗族土家族自治县,0
500235,云阳县,0
500101,万州区,0
500229,城口县,0
500116,江津区,0
500240,石柱土家族自治县,0
500237,巫山县,0
500102,涪陵区,0
500230,丰都县,0
500232,武隆县,0
500119,南川区,0
500241,秀山土家族苗族自治县,0
500114,黔江区,0
500117,合川区,0
500222,綦江县,0
500233,忠县,0
500228,梁平县,0
500113,巴南区,0
500223,潼南县,0
500118,永川区,0
500231,垫江县,0
500112,渝北区,0
500115,长寿区,0
500225,大足县,0
500224,铜梁县,0
500226,荣昌县,0
500227,璧山县,0
500109,北碚区,0
500110,万盛区,0
500107,九龙坡区,0
500106,沙坪坝区,0
500108,南岸区,0
500105,江北区,0
500104,大渡口区,0
500111,双桥区,0
500103,渝中区,0
3507,南平市,0
3504,三明市,0
3508,龙岩市,0
3509,宁德市,0
3501,福州市,0
3506,漳州市,0
3505,泉州市,0
3503,莆田市,0
3502,厦门市,0
6209,酒泉市,0
6207,张掖市,0
6230,甘南藏族自治州,0
6206,武威市,0
6212,陇南市,0
6210,庆阳市,0
6204,白银市,0
6211,定西市,0
6205,天水市,0
6201,兰州市,0
6208,平凉市,0
6229,临夏回族自治州,0
6203,金昌市,0
6202,嘉峪关市,0
4418,清远市,0
4402,韶关市,0
4408,湛江市,0
